,ListingKey,ListingCreationDate,Occupation,BorrowerRate,IncomeRange
30204,A29335851980024199FC68C,2013-08-03 09:16:35.160000000,Attorney,0.1474,"$75,000-99,999"
92435,282D35777195597135375A0,2013-05-03 19:01:12.943000000,Other,0.2639,"$75,000-99,999"
75541,855B3599160660750E7C558,2014-01-03 12:02:14.410000000,Clerical,0.1355,"$25,000-49,999"
91408,A7683411681105045952BD4,2008-02-03 15:20:56.290000000,Police Officer/Correction Officer,0.2745,"$25,000-49,999"
96158,BACC3577288508544D572CC,2013-05-07 08:18:02.693000000,Teacher,0.2932,"$75,000-99,999"
70086,DA07359719250761292E085,2013-12-15 12:03:26.623000000,Tradesman - Mechanic,0.1725,"$50,000-74,999"
81743,5F363420736136952CBB24D,2008-04-30 17:28:05.913000000,Other,0.0749,Not employed
75384,50FD3378106122041FA3A76,2007-01-15 20:43:34.607000000,Computer Programmer,0.0966,Not displayed
620,2C7535810689336884BCEFD,2013-06-22 11:22:28.487000000,Sales - Retail,0.2049,"$25,000-49,999"
9775,16CC35815241449687EDD7D,2013-06-16 17:59:07.920000000,Social Worker,0.2359,"$50,000-74,999"
77523,471C3502154604592D3E88A,2010-11-29 08:18:33.803000000,Construction,0.11,"$75,000-99,999"
30530,BF8B356774613715845DAE8,2013-01-04 11:18:41.713000000,Skilled Labor,0.2692,"$50,000-74,999"
48339,E27D3530495136371C03C34,2011-10-24 10:48:30.827000000,Engineer - Mechanical,0.2599,"$100,000+"
46363,8D1C342047036980918BBFD,2008-04-30 19:44:51.337000000,Sales - Retail,0.07,"$25,000-49,999"
21095,03A53398849399051EA9CFD,2007-08-22 19:03:57.767000000,Other,0.21,"$25,000-49,999"
74422,E0F73515673919320874326,2011-05-18 03:17:53.887000000,Teacher,0.2669,"$25,000-49,999"
40656,4E523590485408638518F6E,2013-10-06 10:29:54.390000000,Professional,0.2925,"$50,000-74,999"
46611,DB18358872840347667E91D,2013-09-18 13:32:33.020000000,Engineer - Chemical,0.231,"$50,000-74,999"
103225,94DA3365892177292AA2332,2006-07-19 12:27:17.743000000,,0.123,Not displayed
78109,BEC23503899500844A76E5B,2011-01-02 21:42:38.623000000,Professional,0.1449,"$50,000-74,999"
82717,702135450985536476B948E,2012-04-18 09:57:21.500000000,Other,0.1469,"$25,000-49,999"
21300,FB7035189405303845F48C8,2011-06-29 14:07:31.287000000,Other,0.3099,"$50,000-74,999"
78235,87023542604104570FB05C7,2012-03-16 06:39:57.173000000,Engineer - Electrical,0.3177,"$100,000+"
89259,23433590900845397C624A5,2013-09-23 13:42:04.290000000,Analyst,0.198,"$25,000-49,999"
65760,5A433543107266474FD979C,2012-03-16 20:25:19.430000000,Professional,0.3304,"$50,000-74,999"
81868,D9343593824216654BF1BCE,2013-11-02 19:54:57.850000000,Teacher,0.1299,"$50,000-74,999"
53060,EFEE337441900879072656C,2006-12-02 15:14:43.373000000,Laborer,0.2,Not displayed
43655,147B3386947607625DBDE62,2007-04-26 09:53:13.307000000,Construction,0.2335,"$50,000-74,999"
26824,BBD33374506323435318C4B,2006-11-17 22:45:10.127000000,Other,0.19,Not displayed
103878,0DEF3590725436671E3CEC0,2013-10-07 11:48:02.843000000,Engineer - Electrical,0.152,"$100,000+"
109597,672F34207728016751E01B2,2008-05-22 22:31:07.697000000,Sales - Commission,0.1485,"$25,000-49,999"
75413,A5743545460204642051907,2012-04-26 16:42:02.800000000,Teacher,0.1768,"$50,000-74,999"
77868,9DB63599703313420B233BF,2014-01-12 17:56:59.683000000,Teacher,0.14,"$1-24,999"
977,3E9A3470886335040D1CC29,2009-12-20 06:35:26.457000000,Professional,0.0945,"$75,000-99,999"
72650,CA0B3399134140319BABA98,2007-09-16 11:28:30.520000000,Skilled Labor,0.265,"$100,000+"
59600,0A5835593397916171AE3A1,2012-10-05 10:50:50.843000000,Accountant/CPA,0.2566,"$25,000-49,999"
4683,875633837142287654EEEF6,2007-03-22 22:30:14.857000000,Other,0.29,Not employed
82792,C7A7358474716735569B54B,2013-08-04 03:58:54.313000000,Skilled Labor,0.2099,"$50,000-74,999"
19218,89A53583575615534B16EC8,2013-07-11 17:12:31.243000000,Other,0.1649,"$25,000-49,999"
61695,8FDB356706857045953AAED,2013-01-08 17:13:34.927000000,Social Worker,0.2692,"$50,000-74,999"
87845,AE183596593089475F9E02B,2013-12-20 10:37:13.377000000,Analyst,0.1314,"$50,000-74,999"
97803,406C3524603271133156BFA,2011-08-16 11:03:57.127000000,Laborer,0.3199,"$1-24,999"
32467,51CC3513944197206A2A88C,2011-05-04 11:27:30.847000000,Analyst,0.3199,"$1-24,999"
43697,4ED83416039230991C1D6B7,2008-03-11 19:35:14.040000000,Student - College Freshman,0.1964,"$1-24,999"
42150,01643602020183667371913,2014-02-20 14:44:10.993000000,Other,0.1465,"$75,000-99,999"
104216,907135958645460158164FF,2013-11-29 11:59:39.833000000,Executive,0.14,"$100,000+"
